iter	Passed	Remaining
0	44	44681
1	79	39604
2	117	39014
3	151	37751
4	194	38764
5	224	37247
6	259	36782
7	292	36255
8	335	36950
9	372	36833
10	412	37083
11	452	37236
12	485	36872
13	530	37394
14	566	37229
15	606	37324
16	637	36874
17	682	37234
18	722	37324
19	761	37337
20	803	37462
21	850	37821
22	892	37895
23	932	37929
24	975	38057
25	1011	37886
26	1048	37787
27	1090	37872
28	1129	37826
29	1166	37720
30	1207	37752
31	1250	37825
32	1288	37764
33	1320	37515
34	1362	37558
35	1392	37280
36	1428	37178
37	1470	37234
38	1510	37230
39	1541	37000
40	1587	37133
41	1626	37109
42	1666	37083
43	1705	37046
44	1738	36886
45	1771	36732
46	1804	36585
47	1836	36422
48	1880	36500
49	1923	36545
50	1965	36577
51	2008	36616
52	2045	36542
53	2079	36435
54	2119	36414
55	2161	36439
56	2195	36318
57	2232	36260
58	2273	36257
59	2309	36182
60	2346	36113
61	2382	36041
62	2414	35905
63	2452	35870
64	2484	35745
65	2515	35602
66	2554	35571
67	2588	35479
68	2628	35463
69	2668	35447
70	2698	35309
71	2738	35301
72	2776	35261
73	2809	35155
74	2842	35059
75	2877	34984
76	2919	34994
77	2953	34913
78	2992	34890
79	3022	34763
80	3062	34749
81	3105	34763
82	3142	34722
83	3185	34739
84	3219	34657
85	3247	34516
86	3286	34488
87	3319	34404
88	3364	34435
89	3404	34418
90	3441	34373
91	3482	34373
92	3521	34345
93	3556	34275
94	3591	34211
95	3630	34189
96	3663	34105
97	3697	34029
98	3738	34020
99	3774	33972
100	3810	33914
101	3841	33823
102	3887	33858
103	3921	33783
104	3960	33756
105	3999	33730
106	4034	33669
107	4070	33622
108	4111	33610
109	4154	33609
110	4195	33603
111	4235	33578
112	4275	33562
113	4311	33511
114	4343	33424
115	4381	33386
116	4422	33379
117	4462	33352
118	4501	33324
119	4541	33305
120	4584	33307
121	4622	33265
122	4657	33208
123	4693	33160
124	4731	33123
125	4771	33100
126	4814	33094
127	4851	33052
128	4889	33015
129	4927	32973
130	4974	33000
131	5013	32966
132	5055	32956
133	5097	32944
134	5138	32921
135	5178	32895
136	5211	32828
137	5273	32937
138	5370	33263
139	5435	33388
140	5481	33393
141	5523	33374
142	5559	33317
143	5605	33319
144	5643	33275
145	5683	33244
146	5719	33190
147	5759	33155
148	5804	33149
149	5851	33158
150	5887	33099
151	5924	33052
152	5960	32998
153	5998	32951
154	6039	32926
155	6079	32890
156	6119	32856
157	6155	32801
158	6201	32800
159	6242	32771
160	6280	32730
161	6320	32694
162	6360	32658
163	6403	32640
164	6441	32598
165	6473	32521
166	6509	32468
167	6542	32403
168	6585	32382
169	6620	32325
170	6659	32284
171	6697	32241
172	6736	32202
173	6771	32147
174	6816	32133
175	6852	32082
176	6886	32021
177	6925	31980
178	6962	31932
179	6999	31886
180	7038	31847
181	7077	31810
182	7113	31756
183	7148	31701
184	7186	31658
185	7224	31616
186	7260	31567
187	7296	31514
188	7331	31458
189	7369	31415
190	7407	31376
191	7448	31347
192	7496	31344
193	7535	31308
194	7571	31257
195	7613	31230
196	7655	31204
197	7694	31164
198	7732	31125
199	7767	31069
200	7803	31021
201	7840	30973
202	7884	30955
203	7923	30917
204	7956	30854
205	7996	30822
206	8033	30776
207	8069	30726
208	8116	30720
209	8158	30691
210	8197	30652
211	8235	30611
212	8272	30564
213	8313	30532
214	8351	30491
215	8394	30470
216	8435	30438
217	8472	30391
218	8506	30334
219	8542	30288
220	8568	30204
221	8604	30156
222	8642	30111
223	8683	30082
224	8728	30063
225	8772	30044
226	8818	30029
227	8864	30016
228	8909	29996
229	8948	29956
230	8993	29940
231	9032	29900
232	9071	29862
233	9114	29835
234	9160	29818
235	9201	29789
236	9256	29801
237	9301	29781
238	9346	29760
239	9391	29738
240	9438	29724
241	9503	29766
242	9561	29787
243	9602	29753
244	9648	29731
245	9729	29821
246	9847	30020
247	9899	30017
248	9936	29969
249	9978	29936
250	10019	29897
251	10061	29865
252	10103	29830
253	10155	29826
254	10198	29794
255	10238	29755
256	10281	29725
257	10321	29683
258	10368	29664
259	10417	29649
260	10466	29634
261	10510	29605
262	10554	29575
263	10603	29561
264	10649	29536
265	10703	29535
266	10750	29512
267	10799	29498
268	10848	29480
269	10891	29447
270	10936	29419
271	10997	29435
272	11044	29412
273	11092	29391
274	11141	29374
275	11185	29341
276	11229	29311
277	11276	29286
278	11340	29307
279	11386	29278
280	11436	29262
281	11482	29235
282	11529	29211
283	11593	29229
284	11635	29190
285	11680	29160
286	11730	29141
287	11776	29115
288	11820	29079
289	11882	29092
290	11924	29052
291	11974	29033
292	12018	29000
293	12065	28973
294	12129	28988
295	12177	28962
296	12223	28933
297	12267	28899
298	12318	28879
299	12358	28836
300	12400	28796
301	12464	28809
302	12515	28789
303	12558	28752
304	12600	28712
305	12642	28672
306	12702	28673
307	12745	28635
308	12789	28600
309	12827	28552
310	12876	28526
311	12919	28489
312	12983	28497
313	13028	28463
314	13067	28416
315	13110	28378
316	13150	28333
317	13195	28300
318	13242	28269
319	13306	28275
320	13349	28238
321	13390	28194
322	13432	28153
323	13481	28127
324	13543	28128
325	13584	28084
326	13623	28038
327	13668	28004
328	13715	27973
329	13761	27940
330	13828	27950
331	13877	27921
332	13923	27888
333	13963	27843
334	14009	27810
335	14055	27776
336	14112	27763
337	14162	27738
338	14211	27711
339	14251	27664
340	14298	27632
341	14342	27594
342	14410	27602
343	14457	27570
344	14502	27534
345	14550	27503
346	14592	27461
347	14640	27429
348	14699	27420
349	14740	27374
350	14783	27334
351	14823	27288
352	14864	27244
353	14908	27205
354	14976	27210
355	15022	27175
356	15066	27136
357	15108	27094
358	15154	27058
359	15192	27009
360	15255	27003
361	15296	26959
362	15339	26918
363	15386	26883
364	15430	26844
365	15490	26832
366	15531	26788
367	15579	26755
368	15623	26717
369	15665	26673
370	15704	26626
371	15759	26605
372	15804	26566
373	15843	26519
374	15883	26473
375	15927	26433
376	15966	26385
377	16013	26350
378	16069	26330
379	16114	26291
380	16154	26246
